id,content
5440,jews are not White
5432,"When people say ""it's the Jews"" they mean the Jews with power, not every single Jewish person in the world.How is this not common sense?"
5431,"Safe to say, any country that has laws against criticizing Israel is officially OCCUPIED"
5424,"These are Mossad agents with Israeli Defense Forces training. If you can't see it, you can't be helped."
5409,I've been through all stages..It's the Left.It's the WEF.It's the Globalists.It's the Satanists.The truth is simpler than they would have you believe. It really is the Jews.
5385,"Ever since Australia voted against Israel in favour of a ceasefire.. 'Antisemitic attacks' began occurring in Australia..Given the admission from authorities that the explosives in the caravan appear staged, could Mossad/Netenyahu be orchestrating these attacks within Australia as retribution for the ceasefire vote?I have no love for Albo but is Israel orchestrating a soft coup against our Prime Minister???"
5374,BREAKING:Fresh government data shows Australia directly exported another $1.5 million worth of weapons to Israel in February. Literally feeding weapons into a genocide.Labor can't deny it any longer. We need to end the two way arms trade with Israel.Free Palestine.
5373,"America's ""elite"" party while not saying one word about Israel's genocide: that's because they care more about wealth and fame than maimed and dead children.#MetGala"
5366,Why are Israelis genuinely shocked and surprised that the world let out a cheer when their soldiers got ran over by a truck?
5359,Merry Christmas and fuck Israel!
5353,"Hurry up and pay your taxes, Americans.Israel's bills are not going to pay themselves!"
5349,"""H*tler was right about you niggas""🎥:@WyronGaines "
5344,We are witnessing the final days where Judaism can still be considered a legitimate religion by anyone with any empathy.
5323,Dear Germany: Fuck your Holocaust guilt. You don't empower genocide to cancel out the shit your great grandparents did. You never fucking learn.
5320,That the Mossad rolled out ISIS this quickly is proof they were 100% behind it.
5311,"Hate speech laws isn't just about criticizing jews. Noahide Laws is their endgame, always has been."
5310,"Myron goes off on j*ws 🫣""H*tler was right about you n*ggas, you come to a country, you push p*rnography""🎥@WyronGaines "
5306,"Podcaster talks about how J*ws get 0% interest loans from Banks 😱""This is one of the most Shocking things i realized in the world of business"""
5295,Mossad is 100% behind the terror attacks in Moscow. Proof:
5289,"Prime Minister Albanese on ABC breakfast radio this morning:""All Jewish requests for increased funding are delivered in record time. The last request for increased funding was made on Saturday evening and was announced in record time on Sunday morning."" Talk about foreign influence in Australia!"
