content,sentiment
"We have the right to protest, despise, call for the end of an ideology and state that can only exist by pursuing our non-existence. We have the right to say we cannot co-exist with our genocidal oppressors. We have the right to demand an end to settler colonialism, apartheid and occupation without factoring in how our oppressors ""feel"". We have the right to imagine that another world is possible. We have the right to refuse to be held hostage to confected feelings by people who support our annihilation. (4)",Negative
'Sex work' is just the ultimate commodification of self. Truly a weird form of self exploitation. Nothing more disrespectful to yourself to offer yourself as nothing but a vessel for the pleasure of others. Those who do this do not understand they're a human with a soul.,Irrelevant
@KeithWoodsYT I agree that we shouldn't try and copy paste a movement. It's not even possible but what about those of us who identify with these things for their economic ideas? Or rather how their economic policies helped to supplement their race?,Negative
Hitler is inevitable.,Positive
"Before the world was blaming Hamas for the latest attempt of genocide, israel was not only executing Palestinians but attacking funeral processions. 

Fuck you with your accusations of antisemitism.",Positive
It's really fucking simple!,Irrelevant
@peterkmurphy @QldPolice Yes we do. Hail Victory,Positive
I AM MOVING ON THE KING'S HIGHWAY,Irrelevant
One year from now?,Irrelevant
@MarkJesser @bordermail Problem?,Irrelevant
"On Senator Fatima Payman quitting the Labor party. A short 🧵

1. The Labor government has invoked ""social cohesion"", ""social harmony"", ""avoiding division"", ""respect"", ""diversity"", being part of a ""team"" to discipline, punish and silence @SenatorPayman. It's the same language that has been weaponized against students protesting at universities, vast cross-sections of the community joining weekly mass rallies around the country, public servants, artists, teachers, doctors & health care workers, lawyers, journalists, food & hospitality workers who have been vocal against Israel's genocide on Palestinians.",Positive
"Are these all JEWS serving as ""right wing influencers"" and ""gatekeepers""? 

H/T @observer4obs",Positive
The Fascist stadium,Negative
Yes this actually happens. Israelis steal Palestinian homes.,Positive
"@DrLoupis Is this the beginning of the end for the absurd Israeli and Jewish dominance of the west and their aggression with the Middle East?

Is it time to deny Israel endless allowances for their genocide of the Palestinians?",Positive
@SamParkerSenate @Lucas_Gage_ The 4 be 2's are gonna keep the war going till 2025 . A lot of people are gonna start noticing .,Negative
"@DrewPavlou Obvious being satirical, this conversation would not make sense unironically",Irrelevant
"@jewsagainstfash Jews chestpuffing after the fact, yet I didn't see you down there?

Prefer to have your pigs, brown sludge and communist golems do the heavy lifting so you can play twitter toughguy a day later, shlomo?",Positive
"If a certain group were another color, would more people notice their concentration of power?

H/T @tonyrigatonee 👈 Give him a follow",Negative
Friendly reminder this is not an argument and merely an assertion. Nowhere in Christianity does it imply that there aren't superior & inferior people on some level. Equality only exists insofar as souls are of equal value in the eyes of God & are likewise loved and judged equally,Negative
"@PeterDutton_MP ""Properly managed migration"" lol

Sounds like certain someone who shall remain nameless but has Peter as a first name will still import record amounts of immigrants like his Liberal and Labor predecessors 🤨

The people want calls for mass deportation, end of story",Negative
@Pohl_MdB Sieg heil.,Positive
When I say 'Pan-Europeanism' I don't mean the dissolution of specific European identities I mean to cooperation of all European ethnicities inside and outside Europe.,Negative
Getting dwarfed by the Mussolini Obelisk,Negative
"Where is the Australian government condemnation.  Where are the sanctions? #IsraelIsAnApartheidState
Israel's occupation of Palestinian territories is illegal, UN court rules -",Positive
"🎶🎵 Fuck off we're full, fuck off we're full. 🎵🎶

🎶🎵 Fuck off we're full Australia for the White man, fuck off we're full! 🎵🎶",Negative
We have to get every Indian out of this country by whatever means necessary.,Negative
"📍Grampians national park 
@WhiteAusVic",Irrelevant
@SenPaterson Still conflating ant zionism with anti semitism . Jews don't support Israel .,Positive
"Mass deportations = return to white normalcy. 

Mass deportations is the only solution to crime

Mass deportations is the only way to fix the discontents of our civilization",Negative
"Chants versus bombs. 
Feelings versus corpses.",Negative
"Fuck you Israel and all your supporters. 

Karma's been pretty busy lately but you've seen nothing yet!",Positive
Can't even wear this in public in this joke of a country without risking 1 year in jail btw,Negative
"Let this sink in for a minute. 

Free palestine.",Positive
"@pegasustits Easy to gloat when you're behind a wall of pigs with batons and pepper spray isn't it, fag?",Negative
"He literally refused to surrender 

He killed himself to avoid capture 

He was offered to escape Berlin but he refused to leave. 

The allies drove Germany into ruin not Hitler. 

But you are owned by Jews so of course you'd say all of this.",Positive
"Thank you @PatsKarvelas and @abcnews for the opportunity to speak on the UN vote and the genocide in Palestine.

You can listen to the interview here",Positive
"Israel is not concerned with killing Hamas; Israel seeks to murder as many Palestinians as possible and make Gaza uninhabitable, leading to a slow death for the remaining Palestinians.",Positive
Love you @TheGuyPearce,Negative
@DrewPavlou I'm amazed that you didn't pop the tyres when you sat on the scooter,Irrelevant
Seems like a film about Fiume is coming out,Irrelevant
Not a finer group of lads in the country. Shrug off your inaction and join today,Irrelevant
"Australian women murdered by Israel in Gaza as she was delivering food aid. 

Will you condemn Israel or blame her for her own murder?",Positive
