content,sentiment,decision_source
"We have the right to protest, despise, call for the end of an ideology and state that can only exist by pursuing our non-existence. We have the right to say we cannot co-exist with our genocidal oppressors. We have the right to demand an end to settler colonialism, apartheid and occupation without factoring in how our oppressors ""feel"". We have the right to imagine that another world is possible. We have the right to refuse to be held hostage to confected feelings by people who support our annihilation. (4)",Negative,User agreement
'Sex work' is just the ultimate commodification of self. Truly a weird form of self exploitation. Nothing more disrespectful to yourself to offer yourself as nothing but a vessel for the pleasure of others. Those who do this do not understand they're a human with a soul.,Irrelevant,User agreement
@KeithWoodsYT I agree that we shouldn't try and copy paste a movement. It's not even possible but what about those of us who identify with these things for their economic ideas? Or rather how their economic policies helped to supplement their race?,Negative,User agreement
Hitler is inevitable.,Positive,User agreement
"Before the world was blaming Hamas for the latest attempt of genocide, israel was not only executing Palestinians but attacking funeral processions. 

Fuck you with your accusations of antisemitism.",Positive,User agreement
It's really fucking simple!,Irrelevant,User agreement
@peterkmurphy @QldPolice Yes we do. Hail Victory,Positive,User agreement
I AM MOVING ON THE KING'S HIGHWAY,Irrelevant,User agreement
One year from now?,Irrelevant,User agreement
@MarkJesser @bordermail Problem?,Irrelevant,User agreement
"On Senator Fatima Payman quitting the Labor party. A short 🧵

1. The Labor government has invoked ""social cohesion"", ""social harmony"", ""avoiding division"", ""respect"", ""diversity"", being part of a ""team"" to discipline, punish and silence @SenatorPayman. It's the same language that has been weaponized against students protesting at universities, vast cross-sections of the community joining weekly mass rallies around the country, public servants, artists, teachers, doctors & health care workers, lawyers, journalists, food & hospitality workers who have been vocal against Israel's genocide on Palestinians.",Positive,User agreement
"Are these all JEWS serving as ""right wing influencers"" and ""gatekeepers""? 

H/T @observer4obs",Positive,User agreement
The Fascist stadium,Negative,User agreement
Yes this actually happens. Israelis steal Palestinian homes.,Positive,User agreement
"@DrLoupis Is this the beginning of the end for the absurd Israeli and Jewish dominance of the west and their aggression with the Middle East?

Is it time to deny Israel endless allowances for their genocide of the Palestinians?",Positive,User agreement
