text,label
تابعو كل جديدنا على الصفحه الخاصه بفرقة شيوخ سلاطين الطرب بقيادة الفرقه الموسيقيه الاستاذ غسان عموري وبإدارة الاستاذ بشير بيج ..#ناديامنفوخ,Irrelevant
جنون وبراءة وحب وبحر وطفوله وندوشه الكبيرة وشايله ندوشه الصغيرة جمعة الاهل من #لبنان,Irrelevant
قريبا ... #توبالفرح كلمات والحان ابن حلب الاستاذ فتحي الجراح توزيع الاستاذ وضاح كوريني غناء #ناديهمنفوخ,Irrelevant
صباح الحب وصباح الفيروز من قلب بيحبكم وبيتمنى السلام وراحة البال للجميع .. #ناديامنفوخ أمي نامت ع بكير,Irrelevant
صباح الذكريات الحلوة .. #ناديامنفوخ ويلي منك ياويلي #ذكرياتكياأنا,Irrelevant
هل تتذكر متى انتضممت إلى تويتر؟ نعم أتذكر! #الذكرىالسنويةعلىتويتر,Irrelevant
#ناديامنفوخ #توبالفرح .الزفة الحلبيه كلمات والحان فتحي الجراح توزيع وضاح كوريني . تصميم كريستين عبد الاحد .,Irrelevant
موال بس ولعونا ومشو .. #نادياالمنفوخ #ناديه #منفوخ #nadia #manfoukh,Irrelevant
مشاركة الفنانه #ناديامنفوخ بحملة #سوابترجعاحلى #حلب,Irrelevant
How can I avoid being late to class everyday? #AssistMeMesut,Irrelevant
مساء الحب والشقاوه يشعر بـالجنون في حلب,Irrelevant
لروح الموسيقار ملحم بركات عهد الله #ناديامنفوخ,Irrelevant
محلا بناتك ياشهبا ومحلا شبابك كلمات وألحان الأستاذ فتحي الجراح غناء ناديه منفوخ,Irrelevant
لكي لاننسى ذكريات آراب أيدول #نادياجميلمنفوخ,Irrelevant
هيك منغني مع الفنانه مايا دياب #ناديامنفوخ,Irrelevant
مساء الخير قريبا رح نشتغل على الصفحه بصورة جديده وإداره جديده واستنوني ببث مباشر لاشرحلكم على كل التفاصيل وندردش ونغني #بحبكم #ناديامنفوخ,Irrelevant
هل تتذكر متى انتضممت إلى تويتر؟ نعم أتذكر! #الذكرىالسنويةعلىتويتر,Irrelevant
تابعوني بكرا بحلقه مميز حلب نصرنا ميلاد على قناة سوريه دراما الساعه ١١ بالليل بتوقيت سوريه,Irrelevant
تابعوني على صفحتي الشخصيه على اليوتيوب بكل جديد. وانتظروني غدا بأغنيتي الجديده ياعزيز,Irrelevant
من حفل رأس السنه happy new year #حلبالشهباء #سوريا,Irrelevant
جديدي وان شاء الله ينال اعجابكم ياعزيز كلمات وألحان الأستاذ فتحي الجراح توزيع نور خيري تصميم كريستين عبد الأحد غناء ناديا المنفوخ,Irrelevant
شكرا موقع فيتو وشكرا للصديقه الاعلاميه ميرنا أبو نادي,Irrelevant
مساء الحب انا وشمشومه قصة حب لاتنتهي #مساءالخير حبايبي,Irrelevant
Makeup artist مبدع وفنان وراقي وصديقي وأخي الغالي كتير ع قلبي وكل التوفيق لأنك بتستاهل كل شي حلوووو من حلب الشهباء لبيروت الجمال اشتقتلك,Irrelevant
منموت ع ترابك لو كيف ماكنتي #سوريا,Irrelevant
وان كنت اقدر احب تاني احبك انت #ناديامنفوخ,Irrelevant
هوني ياسمرة #نادياجميلمنفوخ مهرجان الاغنيه السوريه حلب 1998,Irrelevant
"المطربة السورية #فايايونان تغني "" يابتاع النعنع يا منعنع"" لاختها ببرنامج "" منى الشاذلي""",Irrelevant
هل انت سعيد؟ في #يومالسعادةالعالمي ماذا جاوب الدمشقيون ؟,Irrelevant
إليسا تطرح فيديو كليب #كرهني عبر قناتها الرسمية على يوتيوب الساعة 4 p.m #Krahni,Irrelevant
طرح الفنان السوري #ناصيفزيتون أغنيته الخاصة بمسلسل #الهيبةالحصاد الذي سيعرض ب رمضان2019 على قناة ال MTV والني تحوي على مشاهد حصرية من المسلسل وتحمل عنوان #أزمةثقة,Irrelevant
