content,sentiment,decision_source,cleaned_content
@WotanPrince Low IQ is correlated with low impulse control.,Irrelevant,Pro user,user low iq correlate low impulse control
"The Houthis in Yemen prohibit women from travelling anywhere without a male guardian. 

The first American woman in history to record an air to air kill did it by shooting down a Houthi drone",Negative,User agreement,houthis yemen prohibit woman travel male guardian american woman history record air air kill shoot houthi drone
@TAbreu24 @OliLondonTV Not all Muslim women wear veils,Irrelevant,Pro user,user user muslim woman wear veil
"SES from across the country have come to assist the local SES volunteers helping Australians through Ex-Tropical Cyclone Alfred.

Everyone here at Tweed Heads HQ has been working around the clock to assist locals with everything from roof repairs to injuries.

And a few of these legends have come all the way from my local community in Marrickville to lend a hand.  

Thank you for what you do.",Negative,User agreement,se country come assist local se volunteer help australian ex tropical cyclone alfre tweed head hq work clock assist local roof repair injury legend come way local community marrickville lend hand thank
@MRobertsQLD AHow bout u shut the fuck up and have the backs of you're followers? We love Hitler. He is what no other leader has been able to to do since the fake holocaust.  You're followers LOVE HIM.,Positive,User agreement,user ahow bout u shut fuck back follower love hitler leader able fake holocaust follower love
"Don't forget the faces of the journalists, while they watched footage of Hamas' slaughter of Jews on October 7.",Negative,User agreement,forget face journalist watch footage hama slaughter jews october
Today we announced the largest commitment of funding for legal assistance ever.,Negative,User agreement,today announce large commitment funding legal assistance
@noble_x_x_ Have you noticed how people just don't want to hear it?,Irrelevant,User agreement,user notice people want hear
JQ should only be left to high IQ people. It used to be very nuanced. The more midwits get a hold of it the more they turn it into a caricature of what people think it is.,Irrelevant,Pro user,jq leave high iq people nuanced midwit hold turn caricature people think
@iamyesyouareno His parents will get longer in gaol for talking about it on social media than the killers will. Sick,Irrelevant,User agreement,user parent long gaol talk social medium killer sick
Don't give the wrong people power,Negative,Pro user,wrong people power
"PhD scholarship in Analytical Chemistry (electroanalytical chemistry) available in my lab, as part of my ARC Discovery project. See details below:",Irrelevant,User agreement,phd scholarship analytical chemistry electroanalytical chemistry available lab arc discovery project detail
"🚨 @nytimes ran a piece on ""white privilege"" in Hollywood complaining 95% of the richest executives were white. They ignored that 75% are Jews

Whites are  55% of USA
Jews are only 2%

That's a:

0.2x representation of whites
38x overrepresentation of Jews

H/T @tonyrigatonee",Positive,User agreement,user run piece white privilege hollywood complain rich executive white ignore jews white usa jews representation white overrepresentation jews h t user
"Merry Christmas, Australia.",Irrelevant,Pro user,merry christmas australia
"If you needed anymore proof that maga communism was nothing more than just brown will to power then here you go. 

It's just another anti-white ideology masking itself as something profound and avant guard. 

To hell with them all",Negative,User agreement,need anymore proof maga communism brown power anti white ideology mask profound avant guard hell
Almost zero men from the ages of 18-44 lol,Irrelevant,User agreement,zero man age lol
What is this that stands before me? A Nietzschean vitalist ! Moralfagging?!,Irrelevant,Pro user,stand nietzschean vitalist moralfagging
I'm just so glad the rest of the world can finally see it. 😌 Muslim communities around the world know all about the atrocities and massacres inflicted on the Palestinian people over 75years. I'm just glad their ugly mask is off for the world to see. Palestine will be free!🇵🇸🇵🇸🇵🇸,Positive,User agreement,glad rest world finally muslim community world know atrocity massacre inflict palestinian people glad ugly mask world palestine free
The sacking of @antoinette_news who consistently shows what courageous ethical journalism looks like is a travesty. At what point will  @abcnews fulfil its function as a public broadcaster & not agent of a Zionist lobby determined to remove journalists who refuse to be silent?,Positive,User agreement,sacking user consistently show courageous ethical journalism look like travesty point user fulfil function public broadcaster agent zionist lobby determine remove journalist refuse silent
@MikeBenzCyber @Jikkyleaks They took the Deagal forecast. I've been Sharon this for over 10 yrs. WTF,Negative,Pro user,user user take deagal forecast sharon yr wtf
