tagger_decision_id,tweet_id,tagged_by,classification,features,tagging_date,tagging_duration
1,1895992439409951200,3,Irrelevant,[],2025-03-19 10:32:06.950912,0 days 00:00:20.293000
2,1836686301581672400,3,Irrelevant,[],2025-03-19 10:32:16.134768,0 days 00:00:08.777000
3,1796380428632560000,3,Negative,[],2025-03-19 10:32:52.967445,0 days 00:00:36.505000
4,1718376488280666400,3,Negative,[],2025-03-19 10:33:38.454512,0 days 00:00:45.154000
5,1883512367386108200,3,Negative,[],2025-03-19 10:33:51.640308,0 days 00:00:12.928000
6,1843756416596881700,3,Negative,[],2025-03-19 10:38:00.195833,0 days 00:01:17.229000
7,1822487643688747300,3,Negative,[],2025-03-19 10:38:08.509331,0 days 00:00:07.972000
8,1825033694828261400,3,Negative,[],2025-03-19 10:38:22.623540,0 days 00:00:13.773000
9,1772567296063525000,3,Negative,[],2025-03-19 10:38:30.131773,0 days 00:00:07.178000
10,1838849160688140500,3,Positive,"[""Denying the Jewish people's right to self-determination/the right of Israel to exist""]",2025-03-19 10:40:10.721629,0 days 00:01:40.229000
11,1882223769978315000,3,Positive,"['Spreading conspiracy theories about Jewish control (power, money, and media)']",2025-03-19 10:40:47.440965,0 days 00:00:36.378000
12,1818021779434259000,3,Negative,[],2025-03-19 10:40:54.697439,0 days 00:00:06.934000
13,1761601671682310100,3,Positive,['Demonization of Jews (portraying them as inferior and despicable)'],2025-03-19 10:43:34.109774,0 days 00:02:39.081000
14,1885743893297217500,3,Positive,"['Spreading conspiracy theories about Jewish control (power, money, and media)']",2025-03-19 10:43:56.956210,0 days 00:00:22.597000
15,1856631843023712500,3,Negative,[],2025-03-19 10:45:20.032805,0 days 00:01:22.750000
16,1712761385233568000,3,Negative,[],2025-03-19 10:45:28.840988,0 days 00:00:08.529000
17,1740230260481032200,3,Negative,[],2025-03-19 10:45:39.213311,0 days 00:00:10.121000
18,1794840484168470800,3,Positive,['Cynical use of the Holocaust and Holocaust denial'],2025-03-19 10:46:10.107094,0 days 00:00:30.343000
19,1736023615827796500,3,Negative,[],2025-03-19 10:47:08.207352,0 days 00:00:57.834000
20,1886314866929262800,3,Negative,[],2025-03-19 10:47:15.293006,0 days 00:00:06.822000
21,1721478505442197500,3,Positive,['Blood libels and religiously based antisemitism'],2025-03-19 10:48:00.153639,0 days 00:00:44.585000
22,1795976023520993300,3,Irrelevant,[],2025-03-19 10:48:09.178088,0 days 00:00:08.711000
23,1875427793045221400,3,Irrelevant,[],2025-03-19 10:48:18.112973,0 days 00:00:08.676000
24,1854855842744434700,3,Negative,[],2025-03-19 10:49:18.621800,0 days 00:01:00.148000
25,1758751551898940000,3,Negative,[],2025-03-19 10:49:30.601444,0 days 00:00:11.730000
26,1855880783451357700,3,Negative,[],2025-03-19 10:49:37.848867,0 days 00:00:06.986000
27,1883981501857161500,3,Negative,[],2025-03-19 10:49:46.550802,0 days 00:00:08.436000
28,1794578578497241300,3,Positive,"[""Denying the Jewish people's right to self-determination/the right of Israel to exist""]",2025-03-19 10:51:18.291053,0 days 00:01:31.391000
29,1886359892773982500,3,Negative,[],2025-03-19 10:52:00.714707,0 days 00:00:42.099000
30,1897308405058138600,3,Irrelevant,[],2025-03-19 10:52:17.302371,0 days 00:00:16.275000
31,1883428769475768600,3,Irrelevant,[],2025-03-19 10:52:30.484551,0 days 00:00:12.853000
32,1867403867933356000,3,Negative,[],2025-03-19 10:54:29.981853,0 days 00:01:59.179000
33,1865388358442144300,3,Irrelevant,[],2025-03-19 10:54:39.787736,0 days 00:00:09.547000
34,1822500405001253400,3,Irrelevant,[],2025-03-19 10:54:47.103350,0 days 00:00:07.015000
35,1788045944333943000,3,Negative,[],2025-03-19 10:54:53.351955,0 days 00:00:05.987000
36,1760081365197115400,3,Positive,['Other'],2025-03-19 10:56:06.363815,0 days 00:01:12.665000
37,1834659062681899000,3,Negative,[],2025-03-19 10:56:17.769909,0 days 00:00:11.144000
38,1893550338222723300,3,Negative,[],2025-03-19 10:56:28.724616,0 days 00:00:10.699000
39,1867403859708326100,3,Positive,['Collective blame of Jews for actions of the State of Israel'],2025-03-19 10:57:04.770836,0 days 00:00:35.786000
40,1796093321133109200,3,Negative,[],2025-03-19 10:57:11.354051,0 days 00:00:06.326000
41,1840421885835682300,3,Negative,[],2025-03-19 10:57:17.087276,0 days 00:00:05.462000
42,1846816095665377300,3,Negative,[],2025-03-19 10:57:40.787642,0 days 00:00:23.443000
43,1793858328290050600,3,Negative,[],2025-03-19 10:57:59.195962,0 days 00:00:18.144000
44,1855021414795166000,3,Negative,[],2025-03-19 10:58:36.592216,0 days 00:00:37.139000
45,1842055813873168600,3,Negative,[],2025-03-19 10:58:44.569798,0 days 00:00:07.716000
46,1894617746496712700,3,Positive,['Demonization of Jews (portraying them as inferior and despicable)'],2025-03-19 10:59:45.045444,0 days 00:01:00.194000
47,1721048691128295700,3,Negative,[],2025-03-19 10:59:58.969666,0 days 00:00:13.681000
48,1880337784541704200,3,Positive,['Cynical use of the Holocaust and Holocaust denial'],2025-03-19 11:00:58.925101,0 days 00:00:59.400000
49,1864434451176149200,3,Positive,['Collective blame of Jews for actions of the State of Israel'],2025-03-19 11:01:31.346919,0 days 00:00:32.163000
50,1848865012305301500,3,Positive,['Demonization of Jews (portraying them as inferior and despicable)'],2025-03-19 11:01:59.402205,0 days 00:00:27.736000
51,1897319205080588800,3,Negative,[],2025-03-19 11:02:13.580014,0 days 00:00:13.920000
52,1833153106957243000,3,Negative,[],2025-03-19 11:02:29.022044,0 days 00:00:15.165000
53,1896453849969504300,3,Negative,[],2025-03-19 11:02:35.174243,0 days 00:00:05.889000
